f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,target
-0.9139,0.856112,0.455321,-0.927386,2.12544,0.248739,1.05572,-6.25168,4.44631,-0.438702,1.71,3.73635,-0.40394,-0.109893,0.200138,1.05549,0.274798,0.678654,-2.78781,2.83892,-2.71738,-1.41658,0.244468,-4.153,-3.59772,-0.508436,0.566944,-5.15729,-3.70116,-6.20908,1
0.734981,0.731717,-0.8363,-1.12215,-0.903366,1.98968,0.118531,-3.72707,2.28907,-0.0433658,-1.27666,1.93843,1.10489,0.582302,0.201647,-1.62923,2.19869,-1.10069,-0.68944,2.02032,-0.922342,-1.8713,-0.533365,-0.871928,-2.54105,1.17649,-0.314283,-0.443969,-0.316449,1.27692,1
0.471815,-0.147673,0.745793,1.0106,0.181201,-1.9641,0.0266567,3.68941,-3.99597,-1.71415,-0.473971,-0.729837,0.30937,-1.66777,-0.111235,0.426701,-0.445945,-1.18112,-0.282208,-4.10167,-0.188783,-0.776475,1.86682,2.88687,3.01202,0.495738,0.577699,2.51207,2.60173,1.24626,0
1.78104,0.901811,-0.312148,1.49465,-0.976586,-2.81467,0.580661,5.87639,-4.31483,-1.71007,-0.785631,-2.28883,-0.258822,-2.01218,-0.970337,1.88168,-2.61825,0.715885,0.705009,-5.0958,0.74922,1.24058,0.413828,2.1694,4.58781,-0.901694,-0.462458,1.93314,2.40332,0.250929,0
0.641171,0.966395,1.0329,1.63922,-1.23405,0.661206,1.35987,-1.28352,2.59773,-0.482722,-0.413317,-0.121798,0.342565,0.591104,0.369984,-0.709615,-0.0140558,0.559089,0.505055,0.443632,1.07701,-0.122514,-0.436623,-1.71624,-1.83893,0.844297,0.948517,0.811014,-0.659362,1.73989,0
2.13095,-0.836568,-0.969526,2.0677,-0.703797,-1.99458,0.117845,5.16383,-3.00178,-0.346247,0.700244,-2.87104,1.36849,-0.58397,-0.970742,1.00129,-2.11723,-2.65073,1.44815,-3.1495,1.88314,1.83149,-1.624,1.77828,3.07521,-0.499559,-0.447662,2.51515,1.47121,1.31268,0
0.0110654,0.343979,-0.0301422,0.871012,0.887927,-0.94765,-2.27538,1.23456,-3.34438,0.962069,-0.0161424,0.0198009,-2.08529,0.608771,0.277198,-1.46772,2.13416,0.741177,-0.787944,-0.199187,-0.115096,-1.54935,0.385004,3.93587,0.118186,1.77627,1.51883,3.05271,1.03549,1.3176,1
1.02774,0.784311,0.610698,-1.8439,0.447735,-1.61952,0.270725,4.178,-3.09743,-0.848275,0.0406108,-1.42808,-0.911832,-2.16317,-0.0580551,3.05737,-3.19023,0.288688,0.611062,-3.09228,-0.582656,2.3359,-0.992314,0.356296,4.82362,-3.01681,-0.036223,-2.19051,1.32177,-2.90086,0
2.04033,-0.529051,0.00899586,-0.331892,0.0257596,2.25406,-0.295481,-3.62033,1.74174,0.0200238,2.04937,1.864,0.484559,1.04192,-1.45615,-2.96138,3.47611,0.0881599,-0.611979,1.93216,-0.473425,-2.84827,-0.591371,0.459298,-3.11507,2.53963,1.56254,1.71442,0.455213,3.68729,0
0.840408,0.0992107,-0.550722,0.4072,0.450033,0.0322434,0.361186,-2.75221,0.901527,-1.04626,-0.900572,2.20428,0.872554,-0.267564,0.857659,-0.841088,1.64275,0.179476,-1.77942,0.14644,-1.41691,-2.51808,-0.233157,-0.151339,-1.8723,1.48741,0.736738,0.0795852,-0.287718,-0.346809,1
-0.397126,-0.115333,0.177235,0.336459,1.38494,-0.428172,0.235429,1.27849,0.497851,0.732564,-0.718009,-1.41103,-0.447103,0.28578,-0.785246,1.21422,-1.86731,-0.743343,1.00814,0.291135,1.04106,2.189,1.95237,-1.15351,0.679367,-1.39948,-0.817146,-1.02498,-0.967813,-1.36056,0
-0.886571,1.98217,0.195623,-4.27714,0.502972,1.92426,-0.396248,-1.74168,-0.652076,-0.733795,-0.160809,2.03035,1.22035,-1.17116,0.171059,-0.440371,1.61824,1.34629,-0.730441,0.153046,-2.46315,-1.61578,0.318406,0.531773,0.905239,-0.433543,-0.944403,-1.91214,1.77257,0.401285,0
0.485869,-2.01765,0.93598,1.39653,0.0438415,-0.733359,-2.75086,6.18485,-3.22764,4.01006,-0.320142,-5.17624,0.513636,2.35339,-0.433647,-0.00579738,-1.57999,1.44077,3.52144,1.00478,4.0837,4.53519,0.552026,2.9255,2.35933,-1.12331,-0.1733,3.05981,0.151214,2.20838,0
-0.881141,1.29064,0.451768,0.681356,1.21712,-1.15402,-4.44159,3.25723,-3.04779,5.38974,-1.21131,-3.04911,0.226817,3.08796,-1.61906,-0.0884536,-0.0462551,0.00157071,1.37556,3.59396,2.26921,3.28084,0.105914,3.19133,0.3738,-0.83592,1.38601,1.15065,-1.93159,-1.80404,0
-1.08402,1.04994,-0.842394,-0.366212,0.610498,-0.472622,1.63222,2.94488,-0.430481,-1.30059,-0.460806,-1.71858,0.502889,-1.43517,0.753267,1.90903,-2.899,-0.11572,1.46952,-2.5801,0.744174,2.14677,-0.0857399,-1.18489,2.94612,-1.95456,0.0209357,-0.882437,1.07384,0.00939209,0
-0.469057,-0.285918,0.638279,3.79144,1.55147,-1.85899,-0.619912,-0.513994,-0.466319,0.190136,2.51862,0.464891,1.18197,0.933869,-0.530599,-1.08722,1.30248,0.356332,-1.43521,0.0001909,0.447492,-1.73566,0.752362,1.46412,-2.18975,2.41387,-0.329719,2.84984,-1.07741,-0.127564,1
-0.311478,1.20158,-1.07317,1.85311,1.2258,1.3978,1.7129,-3.09205,3.60893,-1.05656,0.404823,0.97699,1.90034,0.725782,-0.085459,-1.84532,1.35233,0.907967,-0.0512748,0.788188,0.678851,-1.68758,-1.62504,-1.84763,-3.29322,2.08284,-0.191806,1.50677,-0.477526,3.13321,0
0.827138,-0.823398,0.488244,3.36992,-0.766615,-0.802688,1.55009,-0.281426,1.94468,-0.820257,0.0877938,-0.496148,0.868354,0.402481,-1.1449,-0.177627,-0.701614,0.471471,0.14078,-0.599876,1.39524,-0.043244,1.56629,-1.41409,-1.60997,1.06613,0.257988,1.52625,-1.00378,0.819949,1
-1.80263,-0.552142,1.42324,-2.76328,0.330777,2.85703,2.03642,-1.67351,2.57255,-1.61663,0.400779,0.63533,0.321523,-0.942876,0.288751,-0.327864,-0.0609951,-2.29536,1.10382,-0.204225,-0.441387,-0.129664,-1.15242,-2.41232,0.219673,-0.70238,1.38545,-1.56492,1.43451,2.78528,0
-0.370727,-0.140662,0.024524,3.50538,1.08568,-1.67889,-0.528535,-1.30804,0.439676,0.49696,-1.71042,0.690216,0.526572,1.13089,0.762828,-0.770223,1.04187,-0.299964,-1.51686,0.811685,0.315121,-1.37835,0.582954,0.551716,-2.68521,1.98636,-0.457716,1.76414,-1.8915,-1.23137,0
-1.55747,-1.34367,-0.0791604,1.8607,-0.579625,-1.86006,0.988743,2.61666,-2.23896,-2.13045,-0.569592,-0.50009,-1.28657,-1.53715,0.556824,0.511555,-0.810741,1.05785,-0.326927,-3.82878,0.0763762,-0.767897,-1.32032,1.38535,1.93096,0.639299,0.845963,2.1477,1.77534,1.02303,0
-1.16619,-0.582093,0.49638,-1.42726,-0.634798,0.660845,-2.24522,-0.853066,-2.53208,0.63829,-0.765116,1.4792,0.739785,0.311432,0.279083,-2.08049,3.36273,1.62999,-1.20478,0.655223,-1.41138,-2.65131,-0.796739,3.51009,-0.374734,1.79772,-0.456094,1.80372,1.55446,1.81043,0
-0.493559,-0.343176,-0.0370909,-0.504993,-0.138589,-0.258323,-0.617158,-0.724102,0.701179,1.27017,-0.920158,0.0792204,0.189756,0.564859,-0.883453,0.904945,-0.652638,-0.215506,-0.236122,1.71126,-0.216433,1.10783,-0.0516246,-0.978691,-0.481852,-1.08994,0.0299303,-2.08594,-1.78086,-3.06263,1
